uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
2879,2021-12-16 19:58:17+00:00,94.234.170.103,git,tcp,git,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639684685.410899,95192.85881209373,94.234.170.103_git_tcp_git_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
10439,2021-12-16 10:59:38+00:00,94.234.170.103,noclog,tcp,noclog,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639592278.627758,64.18851065635681,94.234.170.103_noclog_tcp_noclog_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
16197,2021-12-16 10:59:38+00:00,94.234.170.103,x11,tcp,x11,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639599192.301019,13219.553738594055,94.234.170.103_x11_tcp_x11_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
21955,2021-12-16 10:59:38+00:00,94.234.170.123,bpdbm,tcp,bpdbm,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639591372.683172,4710.352630138397,94.234.170.123_bpdbm_tcp_bpdbm_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
27713,2021-12-16 10:59:38+00:00,94.234.170.123,vnetd,tcp,vnetd,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639591410.9283602,44.459389448165894,94.234.170.123_vnetd_tcp_vnetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
30592,2021-12-16 10:59:38+00:00,94.234.170.123,vopied,tcp,vopied,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639595689.2973764,4278.369016170502,94.234.170.123_vopied_tcp_vopied_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
33471,2021-12-16 10:59:38+00:00,94.234.170.123,xpilot,tcp,xpilot,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639609345.3958766,13656.09850025177,94.234.170.123_xpilot_tcp_xpilot_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
36350,2021-12-17 09:27:49+00:00,demo.riotlocal,console-https,tcp,vboxd,shodan.io,vboxd,http://demo.riotsecure.io:7888/metrics,1639733245.838609,123900.44273233414,demo.riotlocal_console-https_tcp_vboxd_shodan.io_vboxd_http://demo.riotsecure.io:7888/metrics
37747,2021-12-17 00:55:19+00:00,demo.riotlocal,iotserver-exchange,tcp,amidxtape,telenor.se,amidxtape,http://demo.riotsecure.io:7888/metrics,1639702488.6259015,168.5330355167389,demo.riotlocal_iotserver-exchange_tcp_amidxtape_telenor.se_amidxtape_http://demo.riotsecure.io:7888/metrics
47592,2021-12-16 10:59:38+00:00,demo.riotlocal,iotserver-exchange,tcp,bgpsim,telenor.se,bgpsim,http://demo.riotsecure.io:7888/metrics,1639597104.1150475,1797.70645737648,demo.riotlocal_iotserver-exchange_tcp_bgpsim_telenor.se_bgpsim_http://demo.riotsecure.io:7888/metrics
50471,2021-12-17 08:51:21+00:00,demo.riotlocal,iotserver-exchange,tcp,binkp,telenor.se,binkp,http://demo.riotsecure.io:7888/metrics,1639731039.335023,133935.2199754715,demo.riotlocal_iotserver-exchange_tcp_binkp_telenor.se_binkp_http://demo.riotsecure.io:7888/metrics
62556,2021-12-17 06:44:19+00:00,demo.riotlocal,iotserver-exchange,tcp,cvspserver,telenor.se,cvspserver,http://demo.riotsecure.io:7888/metrics,1639723414.6847663,133922.33315992355,demo.riotlocal_iotserver-exchange_tcp_cvspserver_telenor.se_cvspserver_http://demo.riotsecure.io:7888/metrics
68824,2021-12-16 23:24:17+00:00,demo.riotlocal,iotserver-exchange,tcp,dircproxy,ownit.se,dircproxy,http://demo.riotsecure.io:7888/metrics,1639697026.4975724,66606.17543745041,demo.riotlocal_iotserver-exchange_tcp_dircproxy_ownit.se_dircproxy_http://demo.riotsecure.io:7888/metrics
75974,2021-12-17 03:59:19+00:00,demo.riotlocal,iotserver-exchange,tcp,eklogin,telenor.se,eklogin,http://demo.riotsecure.io:7888/metrics,1639713519.7498178,124134.14446663857,demo.riotlocal_iotserver-exchange_tcp_eklogin_telenor.se_eklogin_http://demo.riotsecure.io:7888/metrics
79695,2021-12-16 19:58:17+00:00,demo.riotlocal,iotserver-exchange,tcp,git,94.234.170.103,git,http://demo.riotsecure.io:7888/metrics,1639684684.718844,42979.206669569016,demo.riotlocal_iotserver-exchange_tcp_git_94.234.170.103_git_http://demo.riotsecure.io:7888/metrics
