uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
7570,2021-12-16 11:03:11+00:00,94.234.170.103,mdns,tcp,mdns,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,300.0,48.0,94.234.170.103_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
16210,2021-12-16 11:03:11+00:00,94.234.170.103,x11,tcp,x11,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,300.0,96.0,94.234.170.103_x11_tcp_x11_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
33490,2021-12-16 11:03:11+00:00,94.234.170.123,xpilot,tcp,xpilot,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,300.0,96.0,94.234.170.123_xpilot_tcp_xpilot_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
37783,2021-12-17 00:55:19+00:00,demo.riotlocal,iotserver-exchange,tcp,amidxtape,telenor.se,amidxtape,http://demo.riotsecure.io:7888/metrics,316.0,40.0,demo.riotlocal_iotserver-exchange_tcp_amidxtape_telenor.se_amidxtape_http://demo.riotsecure.io:7888/metrics
50519,2021-12-17 08:51:21+00:00,demo.riotlocal,iotserver-exchange,tcp,binkp,telenor.se,binkp,http://demo.riotsecure.io:7888/metrics,316.0,268.0,demo.riotlocal_iotserver-exchange_tcp_binkp_telenor.se_binkp_http://demo.riotsecure.io:7888/metrics
50732,2021-12-17 10:37:51+00:00,demo.riotlocal,iotserver-exchange,tcp,binkp,telenor.se,binkp,http://demo.riotsecure.io:7888/metrics,552.0,236.0,demo.riotlocal_iotserver-exchange_tcp_binkp_telenor.se_binkp_http://demo.riotsecure.io:7888/metrics
50733,2021-12-17 10:38:21+00:00,demo.riotlocal,iotserver-exchange,tcp,binkp,telenor.se,binkp,http://demo.riotsecure.io:7888/metrics,632.0,80.0,demo.riotlocal_iotserver-exchange_tcp_binkp_telenor.se_binkp_http://demo.riotsecure.io:7888/metrics
56872,2021-12-16 11:03:11+00:00,demo.riotlocal,iotserver-exchange,tcp,canna,telenor.se,canna,http://demo.riotsecure.io:7888/metrics,356.0,80.0,demo.riotlocal_iotserver-exchange_tcp_canna_telenor.se_canna_http://demo.riotsecure.io:7888/metrics
59752,2021-12-16 11:03:11+00:00,demo.riotlocal,iotserver-exchange,tcp,cfengine,94.234.170.103,cfengine,http://demo.riotsecure.io:7888/metrics,368.0,12.0,demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.103_cfengine_http://demo.riotsecure.io:7888/metrics
66030,2021-12-16 11:03:11+00:00,demo.riotlocal,iotserver-exchange,tcp,dcap,telenor.se,dcap,http://demo.riotsecure.io:7888/metrics,632.0,356.0,demo.riotlocal_iotserver-exchange_tcp_dcap_telenor.se_dcap_http://demo.riotsecure.io:7888/metrics
