uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
2879,2021-12-16 19:58:40+00:00,94.234.170.103,git,tcp,git,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639684685.410868,95192.8588244915,94.234.170.103_git_tcp_git_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
10453,2021-12-16 11:07:13+00:00,94.234.170.103,noclog,tcp,noclog,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639592278.6277153,64.1885154247284,94.234.170.103_noclog_tcp_noclog_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
16211,2021-12-16 11:07:13+00:00,94.234.170.103,x11,tcp,x11,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639599192.3009744,13219.553740501404,94.234.170.103_x11_tcp_x11_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
21969,2021-12-16 11:07:13+00:00,94.234.170.123,bpdbm,tcp,bpdbm,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639591372.6831121,4710.352610826492,94.234.170.123_bpdbm_tcp_bpdbm_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
27727,2021-12-16 11:07:13+00:00,94.234.170.123,vnetd,tcp,vnetd,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639591410.9283183,44.45939111709595,94.234.170.123_vnetd_tcp_vnetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
30606,2021-12-16 11:07:13+00:00,94.234.170.123,vopied,tcp,vopied,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639595689.2973216,4278.369003295898,94.234.170.123_vopied_tcp_vopied_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
33485,2021-12-16 11:07:13+00:00,94.234.170.123,xpilot,tcp,xpilot,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,1639609345.3958273,13656.098505735397,94.234.170.123_xpilot_tcp_xpilot_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
36364,2021-12-17 09:27:49+00:00,demo.riotlocal,console-https,tcp,vboxd,shodan.io,vboxd,http://demo.riotsecure.io:7888/metrics,1639733245.8385754,123900.44274806976,demo.riotlocal_console-https_tcp_vboxd_shodan.io_vboxd_http://demo.riotsecure.io:7888/metrics
37790,2021-12-17 00:55:19+00:00,demo.riotlocal,iotserver-exchange,tcp,amidxtape,telenor.se,amidxtape,http://demo.riotsecure.io:7888/metrics,1639702488.625858,168.53303790092468,demo.riotlocal_iotserver-exchange_tcp_amidxtape_telenor.se_amidxtape_http://demo.riotsecure.io:7888/metrics
47650,2021-12-16 11:07:13+00:00,demo.riotlocal,iotserver-exchange,tcp,bgpsim,telenor.se,bgpsim,http://demo.riotsecure.io:7888/metrics,1639597104.1149955,1797.706458568573,demo.riotlocal_iotserver-exchange_tcp_bgpsim_telenor.se_bgpsim_http://demo.riotsecure.io:7888/metrics
