uuid,_time,dst,dstp,proto,service,src,srcp,url,_value,_value_diff,hash_table
7581,2021-12-16 11:10:37+00:00,94.234.170.103,mdns,tcp,mdns,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,6.0,1.0,94.234.170.103_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
16218,2021-12-16 11:10:37+00:00,94.234.170.103,x11,tcp,x11,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,6.0,2.0,94.234.170.103_x11_tcp_x11_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
33492,2021-12-16 11:10:37+00:00,94.234.170.123,xpilot,tcp,xpilot,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics,6.0,2.0,94.234.170.123_xpilot_tcp_xpilot_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics
50560,2021-12-17 08:51:21+00:00,demo.riotlocal,iotserver-exchange,tcp,binkp,telenor.se,binkp,http://demo.riotsecure.io:7888/metrics,5.0,4.0,demo.riotlocal_iotserver-exchange_tcp_binkp_telenor.se_binkp_http://demo.riotsecure.io:7888/metrics
50774,2021-12-17 10:38:21+00:00,demo.riotlocal,iotserver-exchange,tcp,binkp,telenor.se,binkp,http://demo.riotsecure.io:7888/metrics,10.0,5.0,demo.riotlocal_iotserver-exchange_tcp_binkp_telenor.se_binkp_http://demo.riotsecure.io:7888/metrics
56958,2021-12-16 11:10:37+00:00,demo.riotlocal,iotserver-exchange,tcp,canna,telenor.se,canna,http://demo.riotsecure.io:7888/metrics,6.0,2.0,demo.riotlocal_iotserver-exchange_tcp_canna_telenor.se_canna_http://demo.riotsecure.io:7888/metrics
66131,2021-12-16 11:10:37+00:00,demo.riotlocal,iotserver-exchange,tcp,dcap,telenor.se,dcap,http://demo.riotsecure.io:7888/metrics,10.0,6.0,demo.riotlocal_iotserver-exchange_tcp_dcap_telenor.se_dcap_http://demo.riotsecure.io:7888/metrics
70424,2021-12-16 11:10:37+00:00,demo.riotlocal,iotserver-exchange,tcp,dircproxy,telenor.se,dircproxy,http://demo.riotsecure.io:7888/metrics,6.0,1.0,demo.riotlocal_iotserver-exchange_tcp_dircproxy_telenor.se_dircproxy_http://demo.riotsecure.io:7888/metrics
74181,2021-12-16 18:29:15+00:00,demo.riotlocal,iotserver-exchange,tcp,distmp3,telenor.se,distmp3,http://demo.riotsecure.io:7888/metrics,6.0,5.0,demo.riotlocal_iotserver-exchange_tcp_distmp3_telenor.se_distmp3_http://demo.riotsecure.io:7888/metrics
77910,2021-12-16 18:22:16+00:00,demo.riotlocal,iotserver-exchange,tcp,fido,ownit.se,fido,http://demo.riotsecure.io:7888/metrics,10.0,5.0,demo.riotlocal_iotserver-exchange_tcp_fido_ownit.se_fido_http://demo.riotsecure.io:7888/metrics
