hash_table,avg_diff,std_diff,cnt_diff,ss_diff
94.234.170.115_cfengine_tcp_cfengine_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,16.88888888888889,81.87859656322523,18.0,119104.0
94.234.170.115_hostmon_tcp_hostmon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,10.0,89.07630568952732,18.0,136688.0
94.234.170.115_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-22.222222222222214,31.562366934942432,18.0,25824.0
94.234.170.115_noclog_tcp_noclog_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-50.0,84.1651038488182,18.0,165424.0
94.234.170.115_nut_tcp_nut_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-225.87121212121207,87.74350316966404,33.0,1929953.0625
94.234.170.115_postgresql_tcp_postgresql_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-90.66666666666669,117.73549617181529,18.0,383616.0
94.234.170.115_rfe_tcp_rfe_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-42.888888888888886,46.25872113500061,18.0,69488.0
94.234.170.123_cfengine_tcp_cfengine_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-184.5,107.65951620071228,8.0,353456.0
94.234.170.123_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-33.333333333333336,38.2552828595825,6.0,13984.0
94.234.170.123_munin_tcp_munin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-5.647058823529411,93.8622269449155,18.0,141504.0
94.234.170.124_daap_tcp_daap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-22.1,90.5941104992088,15.0,122228.25
94.234.170.124_distmp3_tcp_distmp3_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-13.211180124223606,103.99968940058154,14.0,143050.6540642722
94.234.170.124_fido_tcp_fido_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-4.2222222222222205,86.287859929667,18.0,126896.0
94.234.170.124_gnunet_tcp_gnunet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-63.33333333333334,115.15105169247198,18.0,297616.0
94.234.170.124_gris_tcp_gris_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,24.88888888888889,70.75466219424854,18.0,96256.0
94.234.170.124_hylafax_tcp_hylafax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-28.57142857142857,32.71723677845644,14.0,25344.0
