hash_table,avg_diff,std_diff,cnt_diff,ss_diff
94.234.170.115_cfengine_tcp_cfengine_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1.2222222222222223,1.699673171197595,18.0,76.0
94.234.170.115_hostmon_tcp_hostmon_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.6111111111111112,1.5005445634595809,18.0,45.0
94.234.170.115_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.2777777777777778,0.5745131499601416,18.0,7.0
94.234.170.115_noclog_tcp_noclog_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.0,1.2833778958394957,18.0,28.0
94.234.170.115_nut_tcp_nut_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-3.6666666666666665,1.7260262647673312,33.0,539.0
94.234.170.115_postgresql_tcp_postgresql_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-1.1666666666666667,2.1760730956581082,18.0,105.0
94.234.170.115_rfe_tcp_rfe_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-0.1111111111111111,0.8323523637957305,18.0,12.0
94.234.170.123_cfengine_tcp_cfengine_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-3.125,1.6420805617960927,8.0,97.0
94.234.170.123_mdns_tcp_mdns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.0,0.0,6.0,0.0
94.234.170.123_munin_tcp_munin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.7067736185383244,1.6106721705308609,18.0,50.00022956841138
94.234.170.124_daap_tcp_daap_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.3333333333333333,1.2344267996967353,15.0,23.0
94.234.170.124_distmp3_tcp_distmp3_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.7173913043478262,1.2648133455912345,14.0,28.001890359168247
94.234.170.124_fido_tcp_fido_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.5555555555555556,1.2935233335271092,18.0,34.0
94.234.170.124_gnunet_tcp_gnunet_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-0.7222222222222222,1.7423971167384034,18.0,61.0
94.234.170.124_gris_tcp_gris_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1.1111111111111112,1.2313975269103985,18.0,48.0
94.234.170.124_hylafax_tcp_hylafax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.0,0.6793662204867574,14.0,6.0
94.234.170.124_iax_tcp_iax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1.4285714285714286,1.2224996910042534,14.0,48.0
94.234.170.124_knetd_tcp_knetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.8333333333333334,1.4245742398014511,18.0,47.0
94.234.170.124_ripd_tcp_ripd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.5008417508417509,1.3823480726958162,18.0,37.000229568411385
94.234.170.124_sip_tcp_sip_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-0.2857142857142857,1.6837947722821909,14.0,38.0
94.234.170.124_svn_tcp_svn_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.6,1.4040757000349275,15.0,33.0
94.234.170.124_xtell_tcp_xtell_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.7111801242236024,1.2008681778811976,14.0,25.827977315689978
94.234.170.124_zebra_tcp_zebra_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.6111111111111112,1.2897281468629185,18.0,35.0
94.234.170.98_dict_tcp_dict_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.4848484848484849,1.5435594441341605,33.0,84.0
94.234.170.98_distcc_tcp_distcc_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-0.13636363636363635,2.166749915150614,22.0,99.0
94.234.170.98_fax_tcp_fax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-0.3,2.273416163537064,20.0,100.0
94.234.170.98_gsigatekeeper_tcp_gsigatekeeper_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,1.242165242165242,1.8065780811079184,39.0,184.19753086419757
94.234.170.98_iax_tcp_iax_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.8833333333333334,2.3452702184739436,20.0,120.11111111111113
94.234.170.98_isns_tcp_isns_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.4166666666666667,2.1852602405298507,24.0,114.0
94.234.170.98_knetd_tcp_knetd_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.12420715249662626,1.5245688877029007,52.0,119.34205063096336
94.234.170.98_mmcc_tcp_mmcc_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.5,2.838231060987733,10.0,75.0
94.234.170.98_mtn_tcp_mtn_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.2631578947368421,1.1945294407402949,19.0,27.0
94.234.170.98_ospfapi_tcp_ospfapi_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,0.12121212121212124,1.9646497104696519,33.0,124.0
94.234.170.99_munin_tcp_munin_demo.riotlocal_iotserver-exchange_http://demo.riotsecure.io:7888/metrics,-3.388888888888889,1.092158622873225,18.0,227.0
demo.riotlocal_iotserver-exchange_tcp_amanda_telenor.se_amanda_http://demo.riotsecure.io:7888/metrics,-0.09729747021237907,0.619380708908106,1294.0,496.0367814157057
demo.riotlocal_iotserver-exchange_tcp_amandaidx_telenor.se_amandaidx_http://demo.riotsecure.io:7888/metrics,0.029077576032934233,0.5418282740803082,645.0,189.0641551246537
demo.riotlocal_iotserver-exchange_tcp_amqp_telenor.se_amqp_http://demo.riotsecure.io:7888/metrics,-0.004551316958528,0.13347465115788665,4716.0,84.0
demo.riotlocal_iotserver-exchange_tcp_amqps_telenor.se_amqps_http://demo.riotsecure.io:7888/metrics,0.004541244992914769,0.13344635164498972,4718.0,84.0
demo.riotlocal_iotserver-exchange_tcp_asp_telenor.se_asp_http://demo.riotsecure.io:7888/metrics,1.0561252023745278,0.9027837735112132,17.0,32.002104199983165
demo.riotlocal_iotserver-exchange_tcp_bgpd_telenor.se_bgpd_http://demo.riotsecure.io:7888/metrics,0.015520457654520618,0.35498311763531953,603.0,75.8598347107438
demo.riotlocal_iotserver-exchange_tcp_bpcd_telenor.se_bpcd_http://demo.riotsecure.io:7888/metrics,-0.98075,1.1865133118872768,50.0,117.07640625
demo.riotlocal_iotserver-exchange_tcp_bpdbm_telenor.se_bpdbm_http://demo.riotsecure.io:7888/metrics,-0.1333813481071099,0.7639465784474411,229.0,133.06415512465375
demo.riotlocal_iotserver-exchange_tcp_bprd_telenor.se_bprd_http://demo.riotsecure.io:7888/metrics,0.09972612526792098,0.7818797030440952,248.0,151.0
demo.riotlocal_iotserver-exchange_tcp_canna_telenor.se_canna_http://demo.riotsecure.io:7888/metrics,-0.0077662552195658955,0.2622674048737941,4713.0,324.1111111111111
demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.115_cfengine_http://demo.riotsecure.io:7888/metrics,2.5555555555555562,1.3814835257889049,18.0,150.0
demo.riotlocal_iotserver-exchange_tcp_cfengine_94.234.170.123_cfengine_http://demo.riotsecure.io:7888/metrics,-3.0,2.2677868380553634,8.0,108.0
demo.riotlocal_iotserver-exchange_tcp_cvspserver_telenor.se_cvspserver_http://demo.riotsecure.io:7888/metrics,0.002396322378716739,0.17552737436218818,1137.0,35.0
demo.riotlocal_iotserver-exchange_tcp_daap_94.234.170.124_daap_http://demo.riotsecure.io:7888/metrics,0.7333333333333333,1.486446705914413,15.0,39.0
demo.riotlocal_iotserver-exchange_tcp_dcap_telenor.se_dcap_http://demo.riotsecure.io:7888/metrics,-0.06914965742225207,0.5839063408954897,3635.0,1239.0
demo.riotlocal_iotserver-exchange_tcp_dict_94.234.170.98_dict_http://demo.riotsecure.io:7888/metrics,-0.2727272727272727,1.8074970137030533,33.0,107.0
demo.riotlocal_iotserver-exchange_tcp_dict_telenor.se_dict_http://demo.riotsecure.io:7888/metrics,0.029314051201876145,0.30770827583093024,603.0,57.0
demo.riotlocal_iotserver-exchange_tcp_distcc_94.234.170.98_distcc_http://demo.riotsecure.io:7888/metrics,-0.09090909090909093,1.4770978917519926,22.0,46.0
demo.riotlocal_iotserver-exchange_tcp_distcc_telenor.se_distcc_http://demo.riotsecure.io:7888/metrics,0.11366758241758257,0.7542351210105803,470.0,266.80034722222223
