#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dst,dstp,host,proto,service,src,srcp,url
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T10:45:23Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T11:00:24Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T11:15:22Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T11:30:20Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T11:45:22Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T12:00:23Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T12:15:24Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T12:30:22Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T12:45:21Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T13:00:24Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T13:15:23Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T13:30:20Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T13:45:21Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T14:00:24Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T14:15:23Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T14:30:10Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T14:45:23Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T15:00:24Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
,,0,2021-04-01T00:00:00Z,2021-05-01T00:00:00Z,2021-04-01T15:15:23Z,1617219454.2573473,gauge,tdmp_packets_created,176.235.39.53,http,telegraf,tcp,http,demo.riotlocal,console-https,http://demo.riotsecure.io:7888/metrics
