table,_time,_value,dst,dstp,proto,src,srcp,url
0,2021-12-12T16:00:00Z,1639322973.1846151,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T17:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T18:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T19:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T20:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T21:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T22:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-12T23:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T00:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T01:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T02:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T03:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T04:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T05:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T06:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T07:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T08:00:00Z,1639322973.1846108,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
0,2021-12-13T08:11:09.961129133Z,1639322973.1846125,94.234.170.115,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T16:00:00Z,1639323345.5981295,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T17:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T18:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T19:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T20:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T21:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T22:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-12T23:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T00:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T01:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T02:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T03:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T04:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T05:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T06:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T07:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T08:00:00Z,1639323345.598134,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
1,2021-12-13T08:11:09.961129133Z,1639323345.59813,94.234.170.115,hostmon,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T16:00:00Z,1639323322.511329,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T17:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T18:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T19:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T20:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T21:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T22:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-12T23:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T00:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T01:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T02:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T03:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T04:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T05:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T06:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T07:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
2,2021-12-13T08:00:00Z,1639323322.511325,94.234.170.115,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
