#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dst,dstp,host,proto,service,src,srcp,url
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T16:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T17:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T18:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T19:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T20:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T21:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T22:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-12T23:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T00:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T01:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T02:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T03:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T04:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T05:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T06:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
,,0,2021-11-13T08:13:43.895385838Z,2021-12-13T08:13:43.895385838Z,2021-12-13T07:00:00Z,6,counter,tdmp_packets_total,94.234.170.115,cfengine,telegraf,tcp,cfengine,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
