#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dst,dstp,host,proto,service,src,srcp,url
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:08:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:09:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:09:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:10:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:10:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:11:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:11:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:12:03Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:12:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:13:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:13:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:14:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:14:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:15:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:15:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:16:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:16:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:17:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:17:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:18:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:18:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:19:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:19:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:20:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:20:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:21:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:21:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:22:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:22:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:23:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:23:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:24:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:24:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:25:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:25:32Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
,,0,2021-05-01T00:00:00Z,2021-06-01T00:00:00Z,2021-05-12T03:26:04Z,40,counter,tdmp_bytes_total,demo.riotlocal,console-https,telegraf,tcp,http,entelpcs.cl,http,http://demo.riotsecure.io:7888/metrics
